Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10936569,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,7101,Varbergs BoIS,Local,ALL,18/02/2023,1,1,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936569,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,7101,Varbergs BoIS,Local,1ST,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936569,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,7101,Varbergs BoIS,Local,2ND,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936569,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1836,Östersunds FK,Visita,ALL,18/02/2023,1,0,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936569,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1836,Östersunds FK,Visita,1ST,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936569,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1836,Östersunds FK,Visita,2ND,18/02/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936562,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1775,Västerås SK,Local,ALL,06/03/2023,3,2,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936562,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1775,Västerås SK,Local,1ST,06/03/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936562,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1775,Västerås SK,Local,2ND,06/03/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936562,80,42259,NORMAL,GROUP,"Svenska Cupen, Group 5",CUP,1836,Östersunds FK,Visita,ALL,06/03/2023,3,2,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
